"day","time","davetazLongitude","davetazLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","8",0.0825,51.591,2012-06-08,"False Alarm","Redbridge","Hainault",325,"Hainault","1122333432213",12,0.04
"Friday","8",0.078,51.591,2012-07-06,"Special Service","Redbridge","Hainault",544,"Ilford","1122333432213",12,0.04
"Friday","15",0.0825,51.593,2011-05-27,"Fire","Redbridge","Hainault",295,"Hainault","1122333432213",16,0.04
"Monday","10",0.081,51.593,2009-07-27,"False Alarm","Redbridge","Hainault",277,"Hainault","1122333432213",14,0.04
"Monday","21",0.0795,51.593,2009-05-11,"Fire","Redbridge","Hainault",271,"Hainault","1122333432213",15,0.04
"Monday","22",0.081,51.593,2013-03-04,"False Alarm","Redbridge","Hainault",274,"Hainault","1122333432213",11,0.04
"Saturday","23",0.081,51.594,2010-06-26,"Fire","Redbridge","Hainault",257,"Hainault","1122333432213",8,0.04
"Sunday","12",0.078,51.593,2012-08-19,"Special Service","Redbridge","Hainault",322,"Hainault","1122333432213",13,0.04
"Sunday","14",0.0825,51.591,2012-04-01,"Fire","Redbridge","Hainault",459,"Ilford","1122333432213",13,0.04
"Sunday","15",0.0825,51.593,2011-09-04,"Fire","Redbridge","Hainault",316,"Hainault","1122333432213",12,0.04
"Sunday","18",0.0795,51.593,2010-12-19,"Special Service","Redbridge","Hainault",868,"Hainault","1122333432213",12,0.03
"Sunday","19",0.081,51.593,2011-10-02,"Fire","Redbridge","Hainault",270,"Hainault","1122333432213",13,0.04
"Sunday","22",0.0825,51.593,2011-07-31,"False Alarm","Redbridge","Hainault",249,"Hainault","1122333432213",8,0.04
"Thursday","0",0.081,51.594,2009-01-01,"Fire","Redbridge","Hainault",336,"Hainault","1122333432213",4,0.03
"Thursday","7",0.081,51.594,2009-01-01,"Fire","Redbridge","Hainault",376,"Hainault","1122333432213",8,0.03
"Thursday","7",0.081,51.593,2011-07-14,"Fire","Redbridge","Hainault",308,"Hainault","1122333432213",8,0.04
"Thursday","14",0.081,51.593,2011-05-19,"False Alarm","Redbridge","Hainault",243,"Ilford","1122333432213",14,0.04
"Thursday","17",0.0795,51.593,2010-08-05,"Fire","Redbridge","Hainault",452,"Hainault","1122333432213",15,0.04
"Thursday","17",0.0825,51.592,2011-11-03,"False Alarm","Redbridge","Hainault",417,"Ilford","1122333432213",15,0.04
"Thursday","18",0.081,51.591,2010-11-18,"False Alarm","Redbridge","Hainault",642,"Woodford","1122333432213",16,0.04
"Thursday","20",0.081,51.594,2009-04-09,"False Alarm","Redbridge","Hainault",394,"Hainault","1122333432213",15,0.04
"Wednesday","16",0.078,51.593,2011-03-16,"Fire","Redbridge","Hainault",300,"Hainault","1122333432213",17,0.05
"Wednesday","17",0.0795,51.593,2009-08-05,"Special Service","Redbridge","Hainault",333,"Hainault","1122333432213",14,0.04
"Friday","12",0.126,51.564,2010-09-24,"Special Service","Redbridge","Dagenham",640,"Ilford","1122333314213",39,0.05
"Friday","19",0.126,51.565,2012-09-28,"Special Service","Redbridge","Dagenham",405,"Dagenham","1122333314213",41,0.06
"Sunday","13",0.126,51.565,2009-01-04,"Special Service","Redbridge","Dagenham",566,"Dagenham","1122333314213",35,0.05
"Sunday","22",0.1275,51.564,2009-08-09,"False Alarm","Redbridge","Dagenham",347,"Dagenham","1122333314213",24,0.05
"Thursday","8",0.126,51.564,2009-07-09,"Special Service","Redbridge","Dagenham",527,"Dagenham","1122333314213",69,0.06
"Thursday","9",0.126,51.565,2013-03-28,"Special Service","Redbridge","Dagenham",353,"Dagenham","1122333314213",46,0.06
"Thursday","10",0.126,51.565,2011-02-03,"Special Service","Redbridge","Dagenham",466,"Dagenham","1122333314213",36,0.05
"Tuesday","7",0.1275,51.564,2009-10-20,"Fire","Redbridge","Dagenham",291,"Dagenham","1122333314213",32,0.06
"Tuesday","12",0.126,51.564,2012-01-03,"False Alarm","Redbridge","Dagenham",348,"Dagenham","1122333314213",31,0.05
"Tuesday","19",0.1275,51.565,2013-03-26,"Fire","Redbridge","Dagenham",339,"Ilford","1122333314213",36,0.06
"Wednesday","15",0.126,51.565,2013-01-23,"Fire","Redbridge","Dagenham",394,"Dagenham","1122333314213",43,0.06
"Wednesday","21",0.1275,51.565,2011-11-02,"Fire","Redbridge","Dagenham",297,"Dagenham","1122333314213",32,0.06
"Friday","0",0.075,51.545,2009-03-06,"Special Service","Redbridge","Ilford",329,"Ilford","1122333422311",49,0.06
"Friday","2",0.0765,51.545,2009-02-06,"Fire","Redbridge","Ilford",371,"Ilford","1122333422311",21,0.05
"Friday","5",0.075,51.545,2013-02-01,"Special Service","Redbridge","Ilford",353,"Ilford","1122333422311",29,0.05
"Friday","10",0.078,51.545,2012-08-03,"False Alarm","Redbridge","Ilford",295,"Ilford","1122333422311",69,0.07
"Friday","11",0.075,51.544,2012-04-27,"Special Service","Redbridge","Ilford",288,"Ilford","1122333422311",71,0.07
"Friday","12",0.078,51.545,2010-10-08,"False Alarm","Redbridge","Ilford",517,"East Ham","1122333422311",75,0.06
"Friday","17",0.075,51.544,2012-05-11,"Fire","Redbridge","Ilford",290,"Ilford","1122333422311",179,0.08
"Friday","19",0.072,51.545,2012-08-10,"Fire","Redbridge","Ilford",482,"Ilford","1122333422311",119,0.07
"Friday","20",0.0735,51.545,2010-02-26,"False Alarm","Redbridge","Ilford",324,"Ilford","1122333422311",98,0.07
"Friday","21",0.0765,51.546,2011-01-14,"Fire","Redbridge","Ilford",294,"Ilford","1122333422311",91,0.07
"Friday","21",0.078,51.545,2010-08-06,"False Alarm","Redbridge","Ilford",316,"Ilford","1122333422311",91,0.07
"Monday","1",0.078,51.544,2010-09-20,"Special Service","Redbridge","Ilford",494,"Ilford","1122333422311",31,0.05
"Monday","7",0.078,51.545,2010-08-16,"False Alarm","Redbridge","Ilford",758,"Ilford","1122333422311",66,0.06
"Monday","7",0.078,51.544,2009-08-17,"Special Service","Redbridge","Ilford",441,"Barking","1122333422311",66,0.06
"Monday","9",0.078,51.545,2010-06-28,"False Alarm","Redbridge","Ilford",275,"Ilford","1122333422311",63,0.07
"Monday","13",0.072,51.545,2009-12-14,"Special Service","Redbridge","Ilford",323,"Ilford","1122333422311",63,0.06
"Monday","14",0.078,51.545,2009-08-24,"False Alarm","Redbridge","Ilford",472,"Ilford","1122333422311",82,0.06
"Monday","15",0.078,51.545,2010-12-27,"False Alarm","Redbridge","Ilford",377,"Ilford","1122333422311",93,0.07
"Monday","16",0.0735,51.544,2012-05-14,"Special Service","Redbridge","Ilford",367,"Ilford","1122333422311",119,0.07
"Monday","17",0.078,51.545,2011-10-03,"Special Service","Redbridge","Ilford",341,"Ilford","1122333422311",205,0.08
"Monday","18",0.078,51.545,2011-10-24,"False Alarm","Redbridge","Ilford",443,"Barking","1122333422311",195,0.08
"Monday","19",0.078,51.545,2009-08-24,"False Alarm","Redbridge","Ilford",393,"Barking","1122333422311",130,0.07
"Monday","19",0.078,51.546,2010-03-01,"False Alarm","Redbridge","Ilford",341,"Ilford","1122333422311",130,0.08
"Monday","19",0.072,51.544,2012-10-29,"Fire","Redbridge","Ilford",351,"Ilford","1122333422311",130,0.07
"Monday","23",0.0735,51.544,2010-10-25,"False Alarm","Redbridge","Ilford",478,"Barking","1122333422311",60,0.06
"Saturday","2",0.075,51.547,2013-03-30,"Special Service","Redbridge","Ilford",265,"Ilford","1122333422311",29,0.05
"Saturday","2",0.0765,51.546,2009-12-12,"Fire","Redbridge","Ilford",336,"Ilford","1122333422311",29,0.05
"Saturday","3",0.0765,51.544,2010-08-14,"False Alarm","Redbridge","Ilford",309,"Ilford","1122333422311",23,0.05
"Saturday","7",0.072,51.546,2010-02-20,"Special Service","Redbridge","Ilford",433,"Ilford","1122333422311",40,0.05
"Saturday","11",0.0735,51.545,2010-10-30,"Fire","Redbridge","Ilford",349,"Ilford","1122333422311",82,0.07
"Saturday","11",0.078,51.545,2011-05-21,"False Alarm","Redbridge","Ilford",256,"Ilford","1122333422311",82,0.07
"Saturday","19",0.0765,51.546,2009-05-02,"Fire","Redbridge","Ilford",357,"Ilford","1122333422311",90,0.07
"Saturday","19",0.078,51.544,2010-05-29,"Special Service","Redbridge","Ilford",275,"Barking","1122333422311",90,0.07
"Saturday","21",0.075,51.545,2009-05-16,"Special Service","Redbridge","Ilford",452,"Barking","1122333422311",78,0.06
"Saturday","21",0.078,51.544,2011-11-26,"Special Service","Redbridge","Ilford",311,"Barking","1122333422311",78,0.07
"Saturday","23",0.0765,51.545,2011-05-07,"Fire","Redbridge","Ilford",312,"Ilford","1122333422311",75,0.07
"Sunday","2",0.078,51.544,2010-09-05,"Special Service","Redbridge","Ilford",315,"Barking","1122333422311",28,0.05
"Sunday","3",0.078,51.544,2011-03-20,"Fire","Redbridge","Ilford",318,"Ilford","1122333422311",23,0.05
"Sunday","3",0.078,51.546,2011-03-20,"Fire","Redbridge","Ilford",23,"Ilford","1122333422311",23,0.09
"Sunday","7",0.078,51.546,2012-06-24,"False Alarm","Redbridge","Ilford",294,"Ilford","1122333422311",27,0.05
"Sunday","8",0.0765,51.545,2011-10-02,"Fire","Redbridge","Ilford",270,"Ilford","1122333422311",39,0.06
"Sunday","8",0.0765,51.546,2011-10-23,"Fire","Redbridge","Ilford",255,"Ilford","1122333422311",39,0.06
"Sunday","13",0.078,51.545,2011-12-11,"False Alarm","Redbridge","Ilford",335,"Ilford","1122333422311",78,0.07
"Sunday","13",0.075,51.546,2011-06-12,"Fire","Redbridge","Ilford",239,"Barking","1122333422311",78,0.07
"Sunday","15",0.075,51.547,2010-06-27,"False Alarm","Redbridge","Ilford",252,"Ilford","1122333422311",84,0.07
"Sunday","17",0.078,51.545,2009-10-25,"Fire","Redbridge","Ilford",333,"Ilford","1122333422311",95,0.07
"Sunday","20",0.078,51.544,2009-08-09,"Fire","Redbridge","Ilford",339,"Ilford","1122333422311",78,0.07
"Sunday","20",0.0735,51.544,2010-08-01,"Special Service","Redbridge","Ilford",587,"Ilford","1122333422311",78,0.06
"Thursday","3",0.075,51.547,2009-01-01,"False Alarm","Redbridge","Ilford",380,"Ilford","1122333422311",19,0.05
"Thursday","10",0.078,51.546,2010-02-04,"False Alarm","Redbridge","Ilford",300,"Ilford","1122333422311",72,0.07
"Thursday","14",0.072,51.546,2010-04-15,"Special Service","Redbridge","Ilford",403,"Barking","1122333422311",79,0.07
"Thursday","15",0.075,51.546,2010-04-22,"False Alarm","Redbridge","Ilford",380,"Ilford","1122333422311",97,0.07
"Thursday","16",0.072,51.546,2012-10-11,"Fire","Redbridge","Ilford",477,"Barking","1122333422311",124,0.07
"Thursday","18",0.0735,51.545,2009-04-09,"Fire","Redbridge","Ilford",290,"Ilford","1122333422311",177,0.08
"Thursday","18",0.078,51.545,2009-06-04,"Fire","Redbridge","Ilford",391,"Ilford","1122333422311",177,0.08
"Thursday","19",0.072,51.546,2013-01-17,"Special Service","Redbridge","Ilford",419,"Ilford","1122333422311",127,0.07
"Tuesday","11",0.078,51.545,2012-05-22,"False Alarm","Redbridge","Ilford",363,"Barking","1122333422311",66,0.06
"Tuesday","12",0.0765,51.544,2012-12-11,"Fire","Redbridge","Ilford",581,"Ilford","1122333422311",70,0.06
"Tuesday","14",0.0765,51.545,2012-07-31,"Special Service","Redbridge","Ilford",587,"Ilford","1122333422311",52,0.06
"Tuesday","14",0.078,51.545,2010-07-13,"False Alarm","Redbridge","Ilford",261,"Ilford","1122333422311",52,0.06
"Tuesday","16",0.075,51.545,2012-09-25,"Special Service","Redbridge","Ilford",298,"Ilford","1122333422311",114,0.07
"Tuesday","19",0.078,51.546,2009-12-29,"False Alarm","Redbridge","Ilford",413,"Ilford","1122333422311",150,0.07
"Tuesday","19",0.075,51.546,2010-04-27,"False Alarm","Redbridge","Ilford",264,"Ilford","1122333422311",150,0.08
"Tuesday","21",0.0765,51.546,2011-07-05,"Fire","Redbridge","Ilford",269,"Ilford","1122333422311",83,0.07
"Tuesday","23",0.078,51.546,2009-12-22,"False Alarm","Redbridge","Ilford",352,"Ilford","1122333422311",63,0.06
"Wednesday","1",0.072,51.546,2010-05-26,"False Alarm","Redbridge","Ilford",370,"Ilford","1122333422311",27,0.05
"Wednesday","5",0.0735,51.545,2009-05-06,"Special Service","Redbridge","Ilford",245,"Ilford","1122333422311",27,0.05
"Wednesday","6",0.072,51.546,2010-05-19,"Fire","Redbridge","Ilford",443,"East Ham","1122333422311",42,0.06
"Wednesday","8",0.078,51.546,2010-02-03,"False Alarm","Redbridge","Ilford",367,"Ilford","1122333422311",89,0.07
"Wednesday","11",0.078,51.545,2010-05-12,"False Alarm","Redbridge","Ilford",216,"Ilford","1122333422311",66,0.07
"Wednesday","11",0.078,51.545,2011-03-16,"Fire","Redbridge","Ilford",299,"Ilford","1122333422311",66,0.07
"Wednesday","20",0.078,51.545,2012-04-11,"False Alarm","Redbridge","Ilford",312,"Ilford","1122333422311",99,0.07
"Wednesday","21",0.075,51.546,2010-03-17,"False Alarm","Redbridge","Ilford",250,"Ilford","1122333422311",93,0.07
"Wednesday","23",0.075,51.545,2011-11-16,"False Alarm","Redbridge","Ilford",274,"Ilford","1122333422311",69,0.07
"Wednesday","23",0.078,51.545,2012-04-04,"False Alarm","Redbridge","Ilford",308,"Ilford","1122333422311",69,0.07
"Wednesday","23",0.078,51.544,2012-05-23,"Fire","Redbridge","Ilford",399,"Ilford","1122333422311",69,0.06
"Friday","0",0.0285,51.594,2011-02-25,"Fire","Redbridge","Woodford",306,"Woodford","1122333431241",27,0.05
"Friday","1",0.027,51.596,2009-09-25,"Special Service","Redbridge","Woodford",451,"Woodford","1122333431241",17,0.04
"Friday","2",0.0285,51.594,2011-03-25,"False Alarm","Redbridge","Woodford",272,"Woodford","1122333431241",17,0.05
"Friday","8",0.027,51.596,2009-02-20,"Special Service","Redbridge","Woodford",332,"Woodford","1122333431241",73,0.07
"Friday","9",0.024,51.596,2010-12-03,"Special Service","Redbridge","Woodford",601,"Walthamstow","1122333431241",67,0.06
"Friday","10",0.03,51.594,2011-04-22,"False Alarm","Redbridge","Woodford",348,"Woodford","1122333431241",75,0.07
"Friday","11",0.0285,51.594,2011-04-22,"Special Service","Redbridge","Woodford",340,"Woodford","1122333431241",78,0.07
"Friday","12",0.024,51.594,2010-10-22,"False Alarm","Redbridge","Woodford",389,"Leytonstone","1122333431241",78,0.07
"Friday","12",0.024,51.597,2009-04-10,"Fire","Redbridge","Woodford",486,"Walthamstow","1122333431241",78,0.06
"Friday","14",0.027,51.596,2010-01-01,"Special Service","Redbridge","Woodford",290,"Woodford","1122333431241",77,0.07
"Friday","16",0.0285,51.597,2011-05-27,"Special Service","Redbridge","Woodford",273,"Woodford","1122333431241",91,0.07
"Friday","17",0.0285,51.594,2010-04-30,"False Alarm","Redbridge","Woodford",228,"Woodford","1122333431241",98,0.08
"Friday","18",0.027,51.598,2010-05-07,"Fire","Redbridge","Woodford",249,"Woodford","1122333431241",94,0.07
"Friday","18",0.027,51.596,2009-11-20,"Special Service","Redbridge","Woodford",394,"Woodford","1122333431241",94,0.07
"Friday","19",0.0285,51.594,2010-09-24,"False Alarm","Redbridge","Woodford",302,"Walthamstow","1122333431241",76,0.07
"Friday","19",0.0285,51.594,2012-01-27,"False Alarm","Redbridge","Woodford",240,"Woodford","1122333431241",76,0.07
"Friday","19",0.0285,51.597,2011-11-04,"Fire","Redbridge","Woodford",294,"Woodford","1122333431241",76,0.07
"Friday","21",0.0285,51.597,2009-05-22,"Fire","Redbridge","Woodford",245,"Woodford","1122333431241",56,0.07
"Friday","22",0.0255,51.597,2010-04-16,"Fire","Redbridge","Woodford",251,"Woodford","1122333431241",52,0.06
"Friday","22",0.0255,51.596,2010-04-09,"False Alarm","Redbridge","Woodford",469,"Walthamstow","1122333431241",52,0.06
"Friday","22",0.03,51.597,2010-08-13,"Fire","Redbridge","Woodford",765,"Chingford","1122333431241",52,0.05
"Friday","23",0.024,51.597,2011-08-19,"Special Service","Redbridge","Woodford",234,"Woodford","1122333431241",43,0.06
"Friday","23",0.024,51.596,2013-01-11,"False Alarm","Redbridge","Woodford",195,"Woodford","1122333431241",43,0.06
"Monday","6",0.0285,51.594,2010-01-18,"False Alarm","Redbridge","Woodford",281,"Woodford","1122333431241",29,0.05
"Monday","8",0.024,51.594,2012-07-02,"Special Service","Redbridge","Woodford",309,"Woodford","1122333431241",68,0.07
"Monday","9",0.024,51.594,2011-01-03,"Special Service","Redbridge","Woodford",245,"Woodford","1122333431241",53,0.07
"Monday","9",0.0285,51.594,2009-05-04,"False Alarm","Redbridge","Woodford",206,"Woodford","1122333431241",53,0.07
"Monday","10",0.0285,51.594,2009-09-14,"False Alarm","Redbridge","Woodford",281,"Woodford","1122333431241",57,0.06
"Monday","13",0.0255,51.597,2009-09-21,"Special Service","Redbridge","Woodford",398,"Woodford","1122333431241",36,0.05
"Monday","17",0.0285,51.594,2010-01-11,"False Alarm","Redbridge","Woodford",295,"Woodford","1122333431241",80,0.07
"Monday","17",0.0285,51.594,2011-09-19,"False Alarm","Redbridge","Woodford",273,"Woodford","1122333431241",80,0.07
"Monday","17",0.024,51.595,2012-10-22,"Special Service","Redbridge","Woodford",312,"Woodford","1122333431241",80,0.07
"Monday","18",0.0285,51.594,2013-03-18,"False Alarm","Redbridge","Woodford",261,"Woodford","1122333431241",81,0.07
"Monday","19",0.0285,51.594,2012-10-22,"Fire","Redbridge","Woodford",269,"Woodford","1122333431241",66,0.07
"Monday","19",0.024,51.596,2010-08-16,"Special Service","Redbridge","Woodford",561,"Walthamstow","1122333431241",66,0.06
"Monday","20",0.027,51.596,2009-05-04,"Special Service","Redbridge","Woodford",258,"Woodford","1122333431241",59,0.07
"Monday","20",0.024,51.596,2012-01-16,"False Alarm","Redbridge","Woodford",226,"Walthamstow","1122333431241",59,0.07
"Monday","21",0.0285,51.594,2009-04-27,"False Alarm","Redbridge","Woodford",328,"Leytonstone","1122333431241",52,0.06
"Monday","21",0.0285,51.594,2010-09-20,"False Alarm","Redbridge","Woodford",232,"Woodford","1122333431241",52,0.07
"Monday","23",0.027,51.597,2009-03-16,"Fire","Redbridge","Woodford",380,"Woodford","1122333431241",29,0.05
"Saturday","0",0.027,51.596,2010-07-31,"False Alarm","Redbridge","Woodford",267,"Woodford","1122333431241",34,0.06
"Saturday","0",0.0285,51.594,2009-06-20,"False Alarm","Redbridge","Woodford",292,"Woodford","1122333431241",34,0.06
"Saturday","0",0.024,51.595,2009-05-09,"Special Service","Redbridge","Woodford",580,"Woodford","1122333431241",34,0.05
"Saturday","1",0.027,51.596,2009-01-24,"Special Service","Redbridge","Woodford",264,"Woodford","1122333431241",24,0.05
"Saturday","1",0.024,51.596,2011-04-02,"False Alarm","Redbridge","Woodford",301,"Woodford","1122333431241",24,0.05
"Saturday","9",0.0285,51.594,2010-05-01,"False Alarm","Redbridge","Woodford",231,"Woodford","1122333431241",53,0.07
"Saturday","10",0.0285,51.594,2009-05-02,"False Alarm","Redbridge","Woodford",295,"Woodford","1122333431241",75,0.07
"Saturday","11",0.0285,51.594,2011-04-23,"False Alarm","Redbridge","Woodford",304,"Walthamstow","1122333431241",79,0.07
"Saturday","11",0.0285,51.594,2012-09-15,"False Alarm","Redbridge","Woodford",454,"Ilford","1122333431241",79,0.06
"Saturday","12",0.03,51.594,2009-01-10,"Special Service","Redbridge","Woodford",619,"Woodford","1122333431241",86,0.06
"Saturday","14",0.027,51.596,2010-01-02,"Special Service","Redbridge","Woodford",317,"Woodford","1122333431241",79,0.07
"Saturday","14",0.0285,51.594,2009-11-28,"False Alarm","Redbridge","Woodford",255,"Woodford","1122333431241",79,0.07
"Saturday","14",0.0285,51.594,2011-11-12,"False Alarm","Redbridge","Woodford",491,"Leytonstone","1122333431241",79,0.06
"Saturday","14",0.0285,51.594,2012-11-17,"False Alarm","Redbridge","Woodford",307,"Woodford","1122333431241",79,0.07
"Saturday","14",0.0255,51.594,2012-07-14,"Special Service","Redbridge","Woodford",277,"Woodford","1122333431241",79,0.07
"Saturday","15",0.024,51.597,2010-11-20,"Fire","Redbridge","Woodford",303,"Woodford","1122333431241",81,0.07
"Saturday","17",0.027,51.596,2010-05-22,"Special Service","Redbridge","Woodford",232,"Woodford","1122333431241",80,0.07
"Saturday","17",0.0285,51.594,2009-08-08,"False Alarm","Redbridge","Woodford",520,"Leytonstone","1122333431241",80,0.06
"Saturday","17",0.0285,51.594,2009-08-15,"False Alarm","Redbridge","Woodford",259,"Woodford","1122333431241",80,0.07
"Saturday","18",0.024,51.597,2010-09-18,"Special Service","Redbridge","Woodford",249,"Woodford","1122333431241",82,0.07
"Saturday","18",0.0285,51.597,2012-05-12,"Special Service","Redbridge","Woodford",528,"Walthamstow","1122333431241",82,0.06
"Saturday","19",0.03,51.597,2010-06-26,"Special Service","Redbridge","Woodford",1122,"Woodford","1122333431241",71,0.05
"Saturday","20",0.0285,51.594,2009-06-27,"False Alarm","Redbridge","Woodford",353,"Woodford","1122333431241",58,0.06
"Saturday","21",0.03,51.597,2010-09-18,"False Alarm","Redbridge","Woodford",656,"Chingford","1122333431241",51,0.05
"Saturday","23",0.0285,51.594,2012-07-28,"False Alarm","Redbridge","Woodford",307,"Woodford","1122333431241",43,0.06
"Sunday","6",0.0285,51.594,2013-03-24,"False Alarm","Redbridge","Woodford",297,"Woodford","1122333431241",14,0.04
"Sunday","11",0.0285,51.594,2010-07-18,"False Alarm","Redbridge","Woodford",257,"Woodford","1122333431241",55,0.07
"Sunday","12",0.024,51.597,2009-01-25,"Special Service","Redbridge","Woodford",373,"Woodford","1122333431241",68,0.06
"Sunday","12",0.0285,51.594,2010-11-14,"False Alarm","Redbridge","Woodford",537,"Chingford","1122333431241",68,0.06
"Sunday","12",0.0285,51.594,2011-08-28,"False Alarm","Redbridge","Woodford",147,"Leytonstone","1122333431241",68,0.08
"Sunday","13",0.0285,51.594,2010-08-15,"False Alarm","Redbridge","Woodford",360,"Woodford","1122333431241",61,0.06
"Sunday","15",0.0285,51.594,2012-09-30,"False Alarm","Redbridge","Woodford",206,"Woodford","1122333431241",63,0.07
"Sunday","18",0.024,51.596,2009-02-08,"Special Service","Redbridge","Woodford",345,"Woodford","1122333431241",61,0.06
"Sunday","18",0.03,51.597,2012-05-06,"Fire","Redbridge","Woodford",226,"Woodford","1122333431241",61,0.07
"Sunday","19",0.024,51.597,2011-05-22,"False Alarm","Redbridge","Woodford",215,"Woodford","1122333431241",56,0.07
"Sunday","19",0.0285,51.594,2010-08-29,"False Alarm","Redbridge","Woodford",258,"Woodford","1122333431241",56,0.07
"Sunday","19",0.0285,51.597,2010-06-27,"Special Service","Redbridge","Woodford",292,"Woodford","1122333431241",56,0.06
"Sunday","21",0.0285,51.594,2012-07-08,"False Alarm","Redbridge","Woodford",215,"Woodford","1122333431241",45,0.06
"Sunday","21",0.0285,51.594,2012-09-16,"Special Service","Redbridge","Woodford",308,"Woodford","1122333431241",45,0.06
"Thursday","0",0.024,51.596,2009-08-20,"Special Service","Redbridge","Woodford",265,"Woodford","1122333431241",24,0.05
"Thursday","1",0.024,51.596,2011-04-14,"Fire","Redbridge","Woodford",450,"Woodford","1122333431241",15,0.04
"Thursday","2",0.024,51.596,2012-11-01,"False Alarm","Redbridge","Woodford",395,"Woodford","1122333431241",14,0.04
"Thursday","3",0.027,51.597,2009-02-26,"Special Service","Redbridge","Woodford",587,"Woodford","1122333431241",14,0.04
"Thursday","6",0.024,51.594,2009-01-01,"False Alarm","Redbridge","Woodford",281,"Woodford","1122333431241",30,0.05
"Thursday","11",0.027,51.597,2012-10-25,"Special Service","Redbridge","Woodford",641,"Walthamstow","1122333431241",67,0.06
"Thursday","11",0.024,51.596,2011-03-17,"Fire","Redbridge","Woodford",253,"Woodford","1122333431241",67,0.07
"Thursday","11",0.024,51.596,2011-03-17,"False Alarm","Redbridge","Woodford",182,"Woodford","1122333431241",67,0.07
"Thursday","13",0.0285,51.594,2009-02-19,"False Alarm","Redbridge","Woodford",257,"Woodford","1122333431241",66,0.07
"Thursday","17",0.0285,51.594,2012-09-13,"False Alarm","Redbridge","Woodford",266,"Woodford","1122333431241",96,0.07
"Thursday","18",0.0285,51.594,2009-02-19,"False Alarm","Redbridge","Woodford",282,"Woodford","1122333431241",96,0.07
"Thursday","18",0.0285,51.594,2011-07-14,"Fire","Redbridge","Woodford",364,"Woodford","1122333431241",96,0.07
"Thursday","20",0.024,51.597,2009-01-29,"Special Service","Redbridge","Woodford",482,"Leytonstone","1122333431241",63,0.06
"Thursday","20",0.024,51.595,2011-04-07,"Special Service","Redbridge","Woodford",246,"Woodford","1122333431241",63,0.07
"Thursday","23",0.0255,51.597,2009-02-05,"Fire","Redbridge","Woodford",240,"Woodford","1122333431241",42,0.06
"Thursday","23",0.0255,51.596,2010-04-08,"False Alarm","Redbridge","Woodford",333,"Woodford","1122333431241",42,0.06
"Tuesday","0",0.027,51.596,2010-12-21,"False Alarm","Redbridge","Woodford",538,"Leytonstone","1122333431241",20,0.04
"Tuesday","11",0.024,51.597,2009-02-10,"False Alarm","Redbridge","Woodford",349,"Woodford","1122333431241",57,0.06
"Tuesday","11",0.0285,51.594,2009-06-23,"False Alarm","Redbridge","Woodford",257,"Woodford","1122333431241",57,0.07
"Tuesday","12",0.0285,51.594,2010-01-05,"False Alarm","Redbridge","Woodford",259,"Woodford","1122333431241",59,0.07
"Tuesday","13",0.027,51.598,2009-01-13,"Fire","Redbridge","Woodford",326,"Woodford","1122333431241",61,0.06
"Tuesday","13",0.0285,51.594,2010-10-12,"False Alarm","Redbridge","Woodford",372,"Woodford","1122333431241",61,0.06
"Tuesday","13",0.0285,51.595,2010-01-19,"False Alarm","Redbridge","Woodford",358,"Woodford","1122333431241",61,0.06
"Tuesday","17",0.0285,51.594,2012-04-10,"False Alarm","Redbridge","Woodford",261,"Woodford","1122333431241",80,0.07
"Tuesday","17",0.0285,51.594,2012-09-25,"False Alarm","Redbridge","Woodford",285,"Woodford","1122333431241",80,0.07
"Tuesday","19",0.0285,51.594,2010-08-24,"False Alarm","Redbridge","Woodford",141,"Chingford","1122333431241",71,0.08
"Tuesday","19",0.0285,51.595,2009-06-02,"Fire","Redbridge","Woodford",408,"Woodford","1122333431241",71,0.06
"Tuesday","20",0.0285,51.594,2010-12-28,"False Alarm","Redbridge","Woodford",268,"Woodford","1122333431241",57,0.07
"Tuesday","20",0.024,51.596,2010-03-09,"False Alarm","Redbridge","Woodford",284,"Woodford","1122333431241",57,0.06
"Tuesday","20",0.027,51.595,2010-10-05,"False Alarm","Redbridge","Woodford",804,"Leyton","1122333431241",57,0.05
"Tuesday","21",0.0285,51.594,2011-11-29,"False Alarm","Redbridge","Woodford",274,"Woodford","1122333431241",48,0.06
"Tuesday","22",0.024,51.594,2010-04-06,"False Alarm","Redbridge","Woodford",234,"Woodford","1122333431241",61,0.07
"Wednesday","6",0.027,51.596,2009-03-11,"Special Service","Redbridge","Woodford",398,"Woodford","1122333431241",27,0.05
"Wednesday","7",0.027,51.597,2009-01-21,"False Alarm","Redbridge","Woodford",471,"Woodford","1122333431241",50,0.06
"Wednesday","8",0.027,51.597,2011-04-13,"Special Service","Redbridge","Woodford",309,"Woodford","1122333431241",68,0.07
"Wednesday","8",0.0285,51.594,2009-02-04,"False Alarm","Redbridge","Woodford",393,"Woodford","1122333431241",68,0.06
"Wednesday","10",0.0285,51.594,2012-05-23,"False Alarm","Redbridge","Woodford",514,"Leytonstone","1122333431241",61,0.06
"Wednesday","12",0.0285,51.594,2009-09-16,"False Alarm","Redbridge","Woodford",274,"Woodford","1122333431241",47,0.06
"Wednesday","13",0.0285,51.594,2009-09-16,"False Alarm","Redbridge","Woodford",174,"Woodford","1122333431241",0,0
